HDI Rank,Country,2010,2019
169, Afghanistan,0.751 ,0.655 
69, Albania,0.242 ,0.181 
91, Algeria,0.507 ,0.429 
148, Angola,,0.536 
46, Argentina,0.358 ,0.328 
81, Armenia,0.342 ,0.245 
8, Australia,0.138 ,0.097 
18, Austria,0.111 ,0.069 
88, Azerbaijan,0.313 ,0.323 
58, Bahamas,0.380 ,0.341 
42, Bahrain,0.247 ,0.212 
133, Bangladesh,0.592 ,0.537 
58, Barbados,0.327 ,0.252 
53, Belarus,0.150 ,0.118 
14, Belgium,0.091 ,0.043 
110, Belize,0.459 ,0.415 
158, Benin,0.625 ,0.612 
129, Bhutan,,0.421 
107, Bolivia (Plurinational State of),0.491 ,0.417 
73, Bosnia and Herzegovina,0.228 ,0.149 
100, Botswana,0.506 ,0.465 
84, Brazil,0.456 ,0.408 
47, Brunei Darussalam,,0.255 
56, Bulgaria,0.244 ,0.206 
182, Burkina Faso,0.614 ,0.594 
185, Burundi,0.532 ,0.504 
126, Cabo Verde,,0.397 
144, Cambodia,0.506 ,0.474 
153, Cameroon,0.617 ,0.560 
16, Canada,0.132 ,0.080 
188, Central African Republic,0.693 ,0.680 
187, Chad,,0.710 
43, Chile,0.342 ,0.247 
85, China,0.194 ,0.168 
83, Colombia,0.468 ,0.428 
149, Congo,0.613 ,0.570 
175, Congo (Democratic Republic of the),0.661 ,0.617 
62, Costa Rica,0.331 ,0.288 
43, Croatia,0.146 ,0.116 
70, Cuba,0.320 ,0.304 
33, Cyprus,0.132 ,0.086 
27, Czechia,0.135 ,0.136 
162, Cote d'Ivoire,0.678 ,0.638 
10, Denmark,0.056 ,0.038 
88, Dominican Republic,0.488 ,0.455 
86, Ecuador,0.425 ,0.384 
116, Egypt,,0.449 
124, El Salvador,0.435 ,0.383 
29, Estonia,0.176 ,0.086 
138, Eswatini (Kingdom of),0.559 ,0.567 
173, Ethiopia,0.587 ,0.517 
93, Fiji,,0.370 
11, Finland,0.077 ,0.047 
26, France,0.107 ,0.049 
119, Gabon,0.553 ,0.525 
172, Gambia,0.658 ,0.612 
61, Georgia,0.406 ,0.331 
6, Germany,0.097 ,0.084 
138, Ghana,0.577 ,0.538 
32, Greece,0.157 ,0.116 
127, Guatemala,0.549 ,0.479 
122, Guyana,0.498 ,0.462 
170, Haiti,,0.636 
132, Honduras,0.470 ,0.423 
